Graph,#Nodes,#Edges,#Nodes_T,#Edges_T,K,Seed,Transform_ms,Ref_ms,Ref_Fib_ms,Bundle_PQ_ms,Bundle_Set_ms,Bundle_Fib_ms,Bundle_construct_ms,Total_Bundle_Set_ms,Total_Bundle_Fib_ms,Total_Bundle_PQ_ms,R_size,sum_ball_sizes,pq_extract,pq_dk,pq_edge_relax,pq_ball_access,set_extract,set_dk,set_edge_relax,set_ball_access,fib_extract,fib_dk,fib_edge_relax,fib_ball_access
er_1000_2000.txt,1000.0,2000.0,4000.0,5911.0,2.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1992.0,1015.0,4589.0,5216.2,23740.5,9896.5,1992.0,5216.2,23740.5,9896.5,1992.0,5216.2,23740.5,9896.5
er_1000_5000.txt,1000.0,5000.0,10000.0,15000.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,4.0,3.0,3.0,5015.4,2492.2,12711.4,15311.4,59707.8,24590.0,5015.4,15311.4,59707.8,24590.0,5015.4,15311.4,59707.8,24590.0
er_1000_10000.txt,1000.0,10000.0,20000.0,30000.0,2.0,3.0,2.0,0.0,0.0,3.0,4.0,3.0,2.0,8.0,7.0,7.0,10004.0,5006.8,26384.6,32768.2,119874.6,49811.0,10004.0,32768.2,119874.6,49811.0,10004.0,32768.2,119874.6,49811.0
er_10000_20000.txt,10000.0,20000.0,40000.0,59255.0,3.0,3.0,5.2,1.0,3.0,8.0,9.0,9.4,8.8,23.0,23.4,22.0,13307.6,17785.0,31249.0,54047.4,357980.8,265729.6,13307.6,54047.4,357980.8,265729.6,13307.6,54047.4,357980.8,265729.6
er_10000_50000.txt,10000.0,50000.0,100000.0,149997.0,3.0,3.0,14.6,2.0,3.0,23.6,28.4,27.4,23.4,66.4,65.4,61.6,33393.8,44398.8,87035.8,160706.0,899912.0,666832.2,33393.8,160706.0,899912.0,666832.2,33393.8,160706.0,899912.0,666832.2
er_10000_100000.txt,10000.0,100000.0,200000.0,300000.0,3.0,3.0,34.4,2.0,3.2,64.4,67.4,60.0,51.2,153.0,145.6,150.0,66670.8,88932.6,183519.2,350250.2,1803619.2,1339386.0,66670.8,350250.2,1803619.2,1339386.0,66670.8,350250.2,1803619.2,1339386.0
er_100000_200000.txt,100000.0,200000.0,400000.0,592712.0,3.0,3.0,78.0,19.0,47.6,134.4,173.8,173.6,116.8,368.6,368.4,329.2,133443.4,177602.2,313647.4,540501.0,3567161.6,2637259.4,133444.0,540499.8,3567161.6,2637259.4,133444.0,540501.0,3567161.6,2637259.4
er_100000_500000.txt,100000.0,500000.0,1000000.0,1499959.0,3.0,3.0,228.8,28.8,51.8,407.6,549.0,503.6,305.8,1083.6,1038.2,942.2,333405.4,444294.0,869851.0,1608846.2,9001631.6,6669880.2,333405.4,1608846.2,9001631.6,6669880.2,333405.4,1608846.2,9001631.6,6669880.2
er_100000_1000000.txt,100000.0,1000000.0,2000000.0,3000000.0,3.0,3.0,510.6,40.4,61.6,905.4,1215.6,1086.6,620.0,2346.2,2217.2,2036.0,666802.2,888420.8,1835581.2,3504850.0,17987068.8,13312459.0,666802.2,3504850.0,17987068.8,13312459.0,666802.2,3504849.6,17987068.8,13312459.0
er_1000000_2000000.txt,1000000.0,2000000.0,4000000.0,5926724.0,3.0,3.0,1194.6,311.8,953.4,1827.4,2890.0,2644.4,1440.4,5525.0,5279.4,4462.4,1333565.8,1777425.2,3133123.8,5401447.0,35731300.4,26468169.4,1333577.0,5401416.8,35731375.0,26468267.2,1333576.6,5401443.6,35731293.8,26468166.2
