Graph,#Nodes,#Edges,#Nodes_T,#Edges_T,K,Seed,Ref_ms,Ref_Fib_ms,Bundle_PQ_ms,Bundle_Set_ms,Bundle_Fib_ms,Bundle_construct_ms,Total_Bundle_Set_ms,Total_Bundle_Fib_ms,Total_Bundle_PQ_ms,R_size,sum_ball_sizes,pq_extract,pq_dk,pq_edge_relax,pq_ball_access,set_extract,set_dk,set_edge_relax,set_ball_access,fib_extract,fib_dk,fib_edge_relax,fib_ball_access,bundle_pq_correct,bundle_correct,bundle_fib_correct
USA-road-t.NY.gr,264346.0,366923.0,264346.0,366923.0,3.0,3.0,35.2,111.0,67.0,151.0,79.8,69.4,220.4,149.2,136.4,88100.6,117552.2,210965.4,364758.4,2282923.8,1686482.8,88100.6,364758.4,2282923.8,1686482.8,88100.6,364760.6,2282923.8,1686482.8,1.0,1.0,1.0
USA-road-t.BAY.gr,321270.0,400086.0,321270.0,400086.0,3.0,3.0,40.6,141.6,76.8,167.4,98.8,82.0,249.4,180.8,158.8,107059.2,142754.4,241803.8,410458.4,2519243.4,1921702.0,107059.2,410458.4,2519243.4,1921702.0,107059.2,410459.0,2519243.4,1921702.0,1.0,1.0,1.0
USA-road-t.COL.gr,435666.0,528533.0,435666.0,528533.0,3.0,3.0,55.6,223.2,115.2,223.8,150.4,111.2,335.0,261.6,226.4,145335.0,193468.6,322143.8,540930.0,3307839.6,2573194.0,145335.0,540930.0,3307839.6,2573194.0,145335.0,540927.8,3307839.6,2573194.0,1.0,1.0,1.0
USA-road-t.FLA.gr,1070376.0,1356399.0,1070376.0,1356399.0,3.0,3.0,150.0,575.4,284.0,587.0,366.8,283.8,870.8,650.6,567.8,356864.8,475366.6,809920.2,1377755.4,8513881.0,6461546.4,356864.8,1377755.4,8513881.0,6461546.4,356864.8,1377752.8,8513881.0,6461546.4,1.0,1.0,1.0
USA-road-t.NW.gr,1207945.0,1420104.0,1207945.0,1420104.0,3.0,3.0,169.0,663.8,316.6,739.4,426.4,321.4,1060.8,747.8,638.0,402767.8,536553.4,880152.0,1477358.4,8967086.8,6999219.6,402767.8,1477358.4,8967086.8,6999219.6,402767.8,1477358.8,8967086.8,6999219.6,1.0,1.0,1.0
USA-road-t.NE.gr,1524453.0,1948818.0,1524453.0,1948818.0,3.0,3.0,249.2,929.8,430.6,1229.4,607.2,425.0,1654.4,1032.2,855.6,508234.0,677321.4,1162474.0,1982060.4,12207694.2,9269092.0,508234.0,1982060.4,12207694.2,9269092.0,508234.0,1982060.6,12207694.2,9269092.0,1.0,1.0,1.0
USA-road-t.CAL.gr,1890815.0,2328871.0,1890815.0,2328871.0,3.0,3.0,294.2,1119.6,540.4,1341.0,716.4,548.8,1889.8,1265.2,1089.2,630368.4,840359.8,1418431.6,2406414.4,14619407.6,11249468.6,630368.4,2406414.4,14619407.6,11249468.6,630368.4,2406419.6,14619407.6,11249468.6,1.0,1.0,1.0
USA-road-t.LKS.gr,2758119.0,3442829.0,2758119.0,3442829.0,3.0,3.0,426.8,1474.0,736.0,2052.0,1044.0,778.2,2830.2,1822.2,1514.2,919867.8,1224872.2,2077353.6,3517867.2,21471004.0,16495232.2,919867.8,3517867.2,21471004.0,16495232.2,919867.8,3517871.4,21471004.0,16495232.2,1.0,1.0,1.0
USA-road-t.E.gr,3598623.0,4389057.0,3598623.0,4389057.0,3.0,3.0,569.6,2039.0,1001.0,3153.4,1472.6,1008.2,4161.6,2480.8,2009.2,1199719.6,1599242.4,2675823.8,4527277.6,27587688.8,21265771.4,1199719.6,4527277.6,27587688.8,21265771.4,1199719.6,4527279.8,27587688.8,21265771.4,1.0,1.0,1.0
USA-road-t.W.gr,6262104.0,7624073.0,6262104.0,7624073.0,3.0,3.0,1063.4,3605.6,1802.4,6038.4,2721.8,1770.4,7808.8,4492.2,3572.8,2087322.4,2783430.8,4653958.2,7867756.4,47804577.4,37031443.0,2087322.4,7867756.4,47804577.4,37031443.0,2087322.4,7867747.0,47804577.4,37031443.0,1.0,1.0,1.0
USA-road-t.CTR.gr,14081816.0,17146248.0,14081816.0,17146248.0,3.0,3.0,2711.6,10924.2,5097.8,22582.0,8536.0,7873.2,30455.2,16409.2,12971.0,4693851.4,6259126.4,10473124.6,17721793.6,107563316.8,83239887.2,4693851.4,17721793.6,107563316.8,83239887.2,4693851.4,17721807.8,107563316.8,83239887.2,1.0,1.0,1.0
