Graph,#Nodes,#Edges,#Nodes_T,#Edges_T,K,Seed,Ref_ms,Ref_Fib_ms,Bundle_PQ_ms,Bundle_Set_ms,Bundle_Fib_ms,Bundle_construct_ms,Total_Bundle_Set_ms,Total_Bundle_Fib_ms,Total_Bundle_PQ_ms,R_size,sum_ball_sizes,pq_extract,pq_dk,pq_edge_relax,pq_ball_access,set_extract,set_dk,set_edge_relax,set_ball_access,fib_extract,fib_dk,fib_edge_relax,fib_ball_access,bundle_pq_correct,bundle_correct,bundle_fib_correct
sparse_128.txt,128.0,384.0,128.0,384.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.8,32.2,180.6,239.4,1579.4,511.0,64.8,239.4,1579.4,511.0,64.8,239.8,1579.4,511.0,1.0,1.0,1.0
sparse_256.txt,256.0,768.0,256.0,768.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.8,66.4,348.6,462.4,3243.2,1098.8,124.8,462.4,3243.2,1098.8,124.8,459.4,3243.2,1098.8,1.0,1.0,1.0
sparse_512.txt,512.0,1536.0,512.0,1536.0,2.0,3.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,251.2,127.2,703.6,923.8,6299.6,2035.4,251.2,923.8,6299.6,2035.4,251.2,924.8,6299.6,2035.4,1.0,1.0,1.0
sparse_1024.txt,1024.0,3072.0,1024.0,3072.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.4,255.4,1433.2,1878.2,12665.4,4126.6,509.4,1878.2,12665.4,4126.6,509.4,1875.2,12665.4,4126.6,1.0,1.0,1.0
sparse_2048.txt,2048.0,6144.0,2048.0,6144.0,2.0,3.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0,1022.0,517.8,2872.8,3737.6,25204.4,8113.8,1022.0,3737.6,25204.4,8113.8,1022.0,3734.4,25204.4,8113.8,1.0,1.0,1.0
sparse_4096.txt,4096.0,12288.0,4096.0,12288.0,2.0,3.0,0.0,1.0,1.0,1.8,1.0,1.0,2.8,2.0,2.0,2031.2,1051.0,5664.0,7378.4,51242.2,17259.8,2031.2,7378.4,51242.2,17259.8,2031.2,7379.2,51242.2,17259.8,1.0,1.0,1.0
sparse_8192.txt,8192.0,24576.0,8192.0,24576.0,3.0,3.0,1.0,2.0,2.0,6.6,2.0,3.0,9.6,5.0,5.0,2738.8,3645.4,8314.0,16554.0,154083.2,86692.6,2738.8,16554.0,154083.2,86692.6,2738.8,16556.0,154083.2,86692.6,1.0,1.0,1.0
sparse_16384.txt,16384.0,49152.0,16384.0,49152.0,3.0,3.0,3.0,5.0,5.0,16.6,5.8,7.2,23.8,13.0,12.2,5455.0,7298.8,16422.8,32789.4,307816.4,172997.4,5455.0,32789.4,307816.4,172997.4,5455.0,32789.6,307816.4,172997.4,1.0,1.0,1.0
sparse_32768.txt,32768.0,98304.0,32768.0,98304.0,3.0,3.0,7.0,12.0,12.2,42.8,13.0,16.2,59.0,29.2,28.4,10925.8,14570.8,33010.4,65723.4,619343.2,352180.4,10925.8,65723.4,619343.2,352180.4,10925.8,65710.2,619343.2,352180.4,1.0,1.0,1.0
sparse_65536.txt,65536.0,196608.0,65536.0,196608.0,3.0,3.0,16.8,29.0,28.6,110.6,31.2,36.6,147.2,67.8,65.2,21944.8,29047.4,66171.0,131443.8,1233847.6,697825.4,21944.8,131443.8,1233847.6,697825.4,21944.8,131442.0,1233847.6,697825.4,1.0,1.0,1.0
sparse_131072.txt,131072.0,393216.0,131072.0,393216.0,3.0,3.0,37.4,66.0,63.6,291.0,72.2,81.2,372.2,153.4,144.8,43707.0,58296.6,132161.8,263500.4,2464855.4,1391614.0,43707.0,263500.4,2464855.4,1391614.0,43707.0,263504.0,2464855.4,1391614.0,1.0,1.0,1.0
sparse_262144.txt,262144.0,786432.0,262144.0,786432.0,3.0,3.0,87.2,173.6,154.4,743.2,179.8,189.8,933.0,369.6,344.2,87366.8,116424.6,264162.8,526824.8,4949816.0,2807156.8,87366.8,526824.8,4949816.0,2807156.8,87366.8,526789.6,4949816.0,2807156.8,1.0,1.0,1.0
sparse_524288.txt,524288.0,1572864.0,524288.0,1572864.0,3.0,3.0,201.6,397.4,391.0,1540.2,488.8,407.6,1947.8,896.4,798.6,174897.8,232881.4,529228.6,1054926.2,9876216.0,5589243.8,174897.8,1054926.2,9876216.0,5589243.8,174897.8,1054883.8,9876216.0,5589243.8,1.0,1.0,1.0
sparse_1048576.txt,1048576.0,3145728.0,1048576.0,3145728.0,3.0,3.0,469.2,1028.2,895.4,3365.2,1182.4,858.2,4223.4,2040.6,1753.6,349560.8,465848.2,1057849.8,2108674.4,19760221.2,11182800.4,349560.8,2108674.4,19760221.2,11182800.4,349560.8,2108581.2,19760221.2,11182800.4,1.0,1.0,1.0
sparse_2097152.txt,2097152.0,6291456.0,2097152.0,6291456.0,3.0,3.0,1033.6,2431.2,2013.0,7494.0,2701.8,1851.4,9345.4,4553.2,3864.4,699256.8,931653.6,2114563.0,4216131.4,39496171.8,22335797.2,699256.8,4216131.4,39496171.8,22335797.2,699256.8,4215847.8,39496171.8,22335797.2,1.0,1.0,1.0
